::1 - - [21/Jul/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:112.230.47.151 - - [21/Jul/2021:22:45:13 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.01717655 Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.20 (KHTML, like Gecko) Chrome/11.0.672.2 Safari/534.20"
::ffff:178.128.18.110 - - [21/Jul/2021:22:54:56 +0000] "HEAD / HTTP/1.0" 404 1022 "-" "-"
::ffff:178.128.18.110 - - [21/Jul/2021:22:55:04 +0000] "GET /system_api.php HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:178.128.18.110 - - [21/Jul/2021:22:55:11 +0000] "GET /c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:178.128.18.110 - - [21/Jul/2021:22:55:18 +0000] "GET /streaming/clients_live.php HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:178.128.18.110 - - [21/Jul/2021:22:55:25 +0000] "GET /stalker_portal/c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:178.128.18.110 - - [21/Jul/2021:22:55:32 +0000] "GET /stream/live.php HTTP/1.1" 404 1022 "-" "VLC/3.0.8 LibVLC/3.0.8"
::ffff:143.198.141.38 - - [22/Jul/2021:02:11:02 +0000] "HEAD / HTTP/1.0" 404 1022 "-" "-"
::ffff:143.198.141.38 - - [22/Jul/2021:02:11:08 +0000] "GET /c/version.js HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
- - - [22/Jul/2021:02:11:15 +0000] "GET /stalker_portal/c/version.js HTTP/1.1" - - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.169 Safari/537.36"
::ffff:143.198.141.38 - - [22/Jul/2021:02:11:17 +0000] "GET /stream/live.php HTTP/1.1" 404 1022 "-" "Roku/DVP-9.10 (289.10E04111A)"
::ffff:223.166.75.79 - - [22/Jul/2021:04:49:11 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/5.01669615 Mozilla/5.0 (Linux; Android 5.1; S900PROBT Build/LMY47I) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/39.0.0.0 Safari/537.36"
::ffff:185.53.90.19 - - [22/Jul/2021:07:01:27 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:185.53.90.19 - - [22/Jul/2021:07:21:11 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:222.186.19.235 - - [22/Jul/2021:11:49:44 +0000] "GET http://fuwu.sogou.com/404/index.html HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Linux; Android 7.1.1; NX563J Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/53.0.2785.49 Mobile MQQBrowser/6.2 TBS/043622 Safari/537.36 V1_AND_SQ_7.2.5_744_YYB_D QQ/7.2.5.3305 NetType/4G WebP/0.3.0 Pixel/1080"
::ffff:222.186.19.235 - - [22/Jul/2021:11:49:44 +0000] "GET http://fuwu.sogou.com/404/index.html HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US) AppleWebKit/525.19 (KHTML, like Gecko) Chrome/1.0.154.55 Safari/525.19"
::ffff:194.163.134.133 - - [22/Jul/2021:13:43:09 +0000] "GET http://icanhazip.com/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:171.12.10.94 - - [22/Jul/2021:13:49:26 +0000] "HEAD http://110.242.68.4/ HTTP/1.1" 404 1022 "-" "Mozilla/4.01707650 Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; EmbeddedWB 14.52 from: http://www.bsalsa.com/ EmbeddedWB 14.52; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0)"
