::1 - - [15/Aug/2021:16:00:01 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:44.193.78.119 - - [15/Aug/2021:17:57:33 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:162.142.125.41 - - [15/Aug/2021:18:03:19 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:44.193.78.119 - - [15/Aug/2021:19:50:50 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:138.197.106.138 - - [16/Aug/2021:02:22:48 +0000] "GET / HTTP/1.0" 404 1022 "-" "-"
::ffff:44.193.78.119 - - [16/Aug/2021:03:55:44 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:20.150.209.191 - - [16/Aug/2021:04:05:08 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:44.193.78.119 - - [16/Aug/2021:04:14:34 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:44.193.78.119 - - [16/Aug/2021:06:40:03 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:44.193.78.119 - - [16/Aug/2021:06:58:40 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:161.117.225.168 - - [16/Aug/2021:07:30:46 +0000] "GET http://passport.baidu.com/ HTTP/1.1" 404 1022 "-" "-"
::ffff:44.193.78.119 - - [16/Aug/2021:10:11:26 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:44.193.78.119 - - [16/Aug/2021:10:30:29 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
::ffff:71.6.232.5 - - [16/Aug/2021:10:54:33 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"
::ffff:167.248.133.58 - - [16/Aug/2021:13:51:26 +0000] "GET / HTTP/1.1" 404 1022 "-" "-"
::ffff:167.248.133.58 - - [16/Aug/2021:13:51:27 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
::ffff:20.150.209.191 - - [16/Aug/2021:13:59:27 +0000] "GET http://azenv.net/ HTTP/1.1" 404 1022 "-" "Go-http-client/1.1"
