::1 - - [14/Oct/2021:16:00:02 +0000] "GET /birthday/remind HTTP/1.1" 200 208 "-" "curl/7.29.0"
::ffff:92.118.160.33 - - [15/Oct/2021:03:23:46 +0000] "GET / HTTP/1.0" 404 1022 "-" "NetSystemsResearch studies the availability of various services across the internet. Our website is netsystemsresearch.com"
::ffff:123.160.221.22 - - [15/Oct/2021:10:52:27 +0000] "GET / HTTP/1.1" 404 1022 "-" "curl/7.64.1"
::ffff:101.227.1.198 - - [15/Oct/2021:10:52:39 +0000] "GET / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:101.227.1.199 - - [15/Oct/2021:10:52:39 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
::ffff:101.227.1.199 - - [15/Oct/2021:10:52:44 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:101.227.1.199 - - [15/Oct/2021:10:52:44 +0000] "GET / HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:101.227.1.199 - - [15/Oct/2021:10:52:44 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 11_0_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36"
::ffff:101.227.1.199 - - [15/Oct/2021:10:52:48 +0000] "GET /favicon.ico HTTP/1.1" 404 1022 "-" "Chrome/54.0 (Windows NT 10.0)"
::ffff:34.86.35.30 - - [15/Oct/2021:12:26:45 +0000] "GET / HTTP/1.1" 404 1022 "-" "Expanse indexes the network perimeters of our customers. If you have any questions or concerns, please reach out to: scaninfo@expanseinc.com"
::ffff:54.219.70.148 - - [15/Oct/2021:12:47:00 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/50.0.2661.102 Safari/537.36"
::ffff:162.142.125.59 - - [15/Oct/2021:15:53:18 +0000] "GET / HTTP/1.1" 404 1022 "-" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
